,IP,serverid
12870_234,12870_234,12.0
12871_219,12871_219,17.0
12873_129,12873_129,47.0
12874_236,12874_236,13.0
12877_151,12877_151,73.0
12892_100,12892_100,11.0
12896_57,12896_57,12.0
12913_121,12913_121,43.0
12915_135,12915_135,33.0
12916_236,12916_236,40.0
12923_206,12923_206,36.0
12928_104,12928_104,54.0
12930_218,12930_218,63.0
12933_145,12933_145,11.0
12934_209,12934_209,33.0
12936_6,12936_6,71.0
12938_210,12938_210,30.0
12942_36,12942_36,51.0
12943_248,12943_248,3.0
12951_246,12951_246,36.0
12952_120,12952_120,13.0
12954_15,12954_15,28.0
12964_47,12964_47,2.0
12965_171,12965_171,31.0
12969_46,12969_46,7.0
12970_162,12970_162,31.0
12971_98,12971_98,37.0
12972_123,12972_123,39.0
12972_131,12972_131,75.0
12972_83,12972_83,61.0
12975_117,12975_117,57.0
12975_61,12975_61,38.0
12978_27,12978_27,58.0
12980_188,12980_188,33.0
12981_236,12981_236,69.0
12984_3,12984_3,17.0
12986_243,12986_243,3.0
12993_108,12993_108,84.0
12995_198,12995_198,64.0
13002_34,13002_34,8.0
13007_231,13007_231,82.0
13009_48,13009_48,34.0
13013_75,13013_75,40.0
13016_166,13016_166,6.0
13021_186,13021_186,5.0
13021_95,13021_95,10.0
13022_2,13022_2,1.0
13023_227,13023_227,34.0
13028_129,13028_129,24.0
13028_171,13028_171,59.0
13032_70,13032_70,28.0
13035_162,13035_162,1.0
13039_155,13039_155,47.0
13043_53,13043_53,22.0
13049_193,13049_193,0.0
13053_106,13053_106,0.0
13053_117,13053_117,4.0
13053_118,13053_118,0.0
13055_59,13055_59,41.0
13056_100,13056_100,34.0
13056_108,13056_108,24.0
13056_109,13056_109,4.0
13056_115,13056_115,25.0
13056_119,13056_119,18.0
13060_57,13060_57,68.0
13063_138,13063_138,44.0
13069_51,13069_51,77.0
13075_139,13075_139,48.0
13076_159,13076_159,14.0
13077_4,13077_4,15.0
13080_49,13080_49,53.0
13081_84,13081_84,74.0
13083_20,13083_20,78.0
13083_23,13083_23,17.0
13085_24,13085_24,10.0
13086_231,13086_231,38.0
13088_209,13088_209,59.0
13091_232,13091_232,50.0
13092_247,13092_247,14.0
13109_97,13109_97,13.0
13111_132,13111_132,25.0
13113_140,13113_140,60.0
13113_19,13113_19,68.0
13115_181,13115_181,39.0
13116_173,13116_173,53.0
13119_217,13119_217,20.0
13120_61,13120_61,20.0
13121_147,13121_147,23.0
13122_80,13122_80,77.0
13125_27,13125_27,25.0
13126_100,13126_100,30.0
13128_215,13128_215,28.0
13130_38,13130_38,27.0
13133_251,13133_251,50.0
13135_212,13135_212,58.0
13140_252,13140_252,80.0
13141_101,13141_101,83.0
13146_102,13146_102,24.0
13149_136,13149_136,55.0
13150_140,13150_140,20.0
13153_32,13153_32,71.0
13154_144,13154_144,49.0
13155_70,13155_70,4.0
13157_61,13157_61,44.0
13159_160,13159_160,60.0
13160_204,13160_204,72.0
13163_239,13163_239,45.0
13173_138,13173_138,61.0
13176_66,13176_66,71.0
13176_74,13176_74,15.0
13178_118,13178_118,24.0
13179_15,13179_15,8.0
13180_38,13180_38,46.0
13183_225,13183_225,25.0
13184_115,13184_115,0.0
13186_182,13186_182,34.0
13187_197,13187_197,5.0
13194_61,13194_61,43.0
13203_213,13203_213,48.0
13203_38,13203_38,61.0
13210_238,13210_238,35.0
13213_228,13213_228,5.0
13214_199,13214_199,47.0
13215_218,13215_218,1.0
13216_252,13216_252,26.0
13218_174,13218_174,84.0
13218_212,13218_212,83.0
13219_248,13219_248,69.0
13221_15,13221_15,29.0
13222_111,13222_111,61.0
13227_120,13227_120,19.0
13230_10,13230_10,78.0
13230_66,13230_66,23.0
13234_35,13234_35,54.0
13236_133,13236_133,3.0
13237_113,13237_113,62.0
13239_133,13239_133,6.0
13239_164,13239_164,84.0
13243_27,13243_27,69.0
13243_66,13243_66,74.0
13248_115,13248_115,7.0
13252_162,13252_162,23.0
13252_94,13252_94,37.0
13256_254,13256_254,67.0
13258_73,13258_73,51.0
13261_1,13261_1,15.0
13262_3,13262_3,45.0
13268_234,13268_234,80.0
13270_3,13270_3,38.0
13282_62,13282_62,77.0
13284_165,13284_165,74.0
13286_1,13286_1,46.0
13287_196,13287_196,11.0
13291_29,13291_29,69.0
13299_55,13299_55,27.0
13300_227,13300_227,27.0
13303_41,13303_41,30.0
13303_58,13303_58,39.0
13303_59,13303_59,47.0
13303_61,13303_61,49.0
13303_79,13303_79,9.0
13304_60,13304_60,58.0
13306_173,13306_173,82.0
13307_252,13307_252,5.0
13309_26,13309_26,48.0
13313_20,13313_20,18.0
13315_184,13315_184,19.0
13319_145,13319_145,26.0
13321_169,13321_169,8.0
13329_21,13329_21,9.0
13333_236,13333_236,80.0
13334_218,13334_218,44.0
13335_86,13335_86,12.0
13336_58,13336_58,2.0
13337_190,13337_190,34.0
13338_52,13338_52,41.0
13340_72,13340_72,43.0
13344_35,13344_35,24.0
13345_53,13345_53,26.0
13346_32,13346_32,4.0
13348_118,13348_118,35.0
13353_39,13353_39,22.0
13353_50,13353_50,41.0
13354_34,13354_34,36.0
13356_142,13356_142,37.0
13357_121,13357_121,38.0
13358_149,13358_149,56.0
13359_58,13359_58,15.0
13363_99,13363_99,42.0
13364_4,13364_4,71.0
13365_78,13365_78,42.0
13370_210,13370_210,36.0
13371_74,13371_74,33.0
13376_150,13376_150,78.0
13379_49,13379_49,0.0
13384_214,13384_214,29.0
13388_11,13388_11,20.0
13392_117,13392_117,61.0
13392_32,13392_32,74.0
13395_144,13395_144,84.0
13396_245,13396_245,15.0
13400_46,13400_46,60.0
13400_89,13400_89,51.0
13401_214,13401_214,79.0
13406_13,13406_13,32.0
13408_109,13408_109,37.0
13409_202,13409_202,5.0
13410_59,13410_59,30.0
13410_62,13410_62,69.0
13417_124,13417_124,53.0
13420_186,13420_186,56.0
13423_116,13423_116,24.0
13425_149,13425_149,46.0
13428_37,13428_37,71.0
13435_76,13435_76,25.0
13439_252,13439_252,49.0
13440_125,13440_125,62.0
13440_129,13440_129,84.0
13442_216,13442_216,79.0
13443_4,13443_4,8.0
13444_107,13444_107,35.0
13445_113,13445_113,20.0
13447_37,13447_37,53.0
13447_41,13447_41,57.0
13449_153,13449_153,83.0
13451_24,13451_24,34.0
13454_193,13454_193,6.0
13455_159,13455_159,77.0
13458_39,13458_39,21.0
13461_227,13461_227,70.0
13463_89,13463_89,46.0
13467_5,13467_5,37.0
13484_52,13484_52,29.0
13486_58,13486_58,76.0
13489_161,13489_161,78.0
13491_83,13491_83,2.0
13494_80,13494_80,16.0
13495_125,13495_125,29.0
13497_67,13497_67,2.0
13499_44,13499_44,42.0
13500_247,13500_247,78.0
13501_141,13501_141,81.0
13502_37,13502_37,4.0
13505_18,13505_18,36.0
13507_231,13507_231,79.0
13511_13,13511_13,12.0
13513_177,13513_177,48.0
13520_198,13520_198,41.0
13521_97,13521_97,74.0
13521_98,13521_98,81.0
13524_115,13524_115,25.0
13525_251,13525_251,58.0
13528_66,13528_66,10.0
13529_248,13529_248,13.0
13531_96,13531_96,14.0
13537_216,13537_216,51.0
13543_175,13543_175,58.0
13544_126,13544_126,21.0
13546_90,13546_90,23.0
13550_195,13550_195,25.0
13550_67,13550_67,29.0
13552_251,13552_251,72.0
13552_254,13552_254,64.0
13554_35,13554_35,66.0
13564_123,13564_123,64.0
13568_153,13568_153,21.0
13572_244,13572_244,37.0
13573_212,13573_212,10.0
13586_73,13586_73,27.0
13588_7,13588_7,62.0
13589_238,13589_238,14.0
13591_15,13591_15,9.0
13592_16,13592_16,61.0
13592_72,13592_72,83.0
13593_19,13593_19,72.0
13596_66,13596_66,27.0
13600_4,13600_4,21.0
13603_4,13603_4,21.0
13603_57,13603_57,47.0
13603_6,13603_6,31.0
13605_39,13605_39,10.0
13606_206,13606_206,2.0
13606_208,13606_208,9.0
13607_234,13607_234,3.0
13608_204,13608_204,3.0
13609_133,13609_133,25.0
13611_13,13611_13,32.0
13612_216,13612_216,6.0
13613_70,13613_70,2.0
13614_137,13614_137,13.0
13625_37,13625_37,74.0
13631_71,13631_71,50.0
13631_73,13631_73,59.0
13631_82,13631_82,48.0
13637_86,13637_86,8.0
13642_66,13642_66,31.0
13643_77,13643_77,48.0
13644_100,13644_100,65.0
13644_103,13644_103,65.0
13644_99,13644_99,47.0
13645_245,13645_245,20.0
13646_83,13646_83,51.0
13647_12,13647_12,5.0
13647_21,13647_21,15.0
13647_6,13647_6,33.0
13648_178,13648_178,12.0
13649_250,13649_250,8.0
13650_64,13650_64,28.0
13652_248,13652_248,68.0
13653_95,13653_95,26.0
13668_80,13668_80,8.0
13670_254,13670_254,2.0
13671_224,13671_224,67.0
13675_129,13675_129,47.0
13681_200,13681_200,40.0
13683_157,13683_157,43.0
13690_173,13690_173,11.0
13693_173,13693_173,38.0
13694_12,13694_12,24.0
13696_180,13696_180,68.0
13697_113,13697_113,26.0
13698_247,13698_247,9.0
13707_58,13707_58,24.0
13708_80,13708_80,20.0
13709_65,13709_65,36.0
13722_163,13722_163,75.0
13723_221,13723_221,18.0
13724_243,13724_243,70.0
13725_205,13725_205,35.0
13725_206,13725_206,76.0
13730_93,13730_93,4.0
13731_196,13731_196,33.0
13769_121,13769_121,74.0
13771_166,13771_166,22.0
13772_130,13772_130,23.0
13774_115,13774_115,54.0
13775_21,13775_21,52.0
13776_203,13776_203,83.0
13794_160,13794_160,66.0
13795_96,13795_96,39.0
13798_26,13798_26,21.0
13805_158,13805_158,45.0
13806_41,13806_41,12.0
13809_192,13809_192,83.0
13810_67,13810_67,72.0
13823_18,13823_18,11.0
13824_15,13824_15,42.0
13828_25,13828_25,40.0
13831_172,13831_172,85.0
13836_24,13836_24,37.0
13844_113,13844_113,13.0
13846_181,13846_181,73.0
13854_27,13854_27,81.0
13855_165,13855_165,29.0
13859_100,13859_100,65.0
13860_100,13860_100,67.0
13861_172,13861_172,17.0
13862_58,13862_58,55.0
13862_72,13862_72,63.0
13869_49,13869_49,68.0
13870_204,13870_204,77.0
13875_92,13875_92,54.0
13877_169,13877_169,56.0
13883_47,13883_47,33.0
13887_168,13887_168,11.0
13887_180,13887_180,19.0
13889_101,13889_101,25.0
13891_247,13891_247,70.0
13896_242,13896_242,57.0
13898_168,13898_168,29.0
13901_183,13901_183,44.0
13904_202,13904_202,80.0
13905_64,13905_64,40.0
13906_202,13906_202,76.0
13908_13,13908_13,56.0
13910_50,13910_50,11.0
13911_207,13911_207,69.0
13917_184,13917_184,9.0
13919_102,13919_102,43.0
13921_0,13921_0,34.0
13926_197,13926_197,10.0
13926_21,13926_21,55.0
13929_70,13929_70,41.0
13932_238,13932_238,26.0
13940_33,13940_33,77.0
13943_100,13943_100,35.0
13944_83,13944_83,22.0
13951_55,13951_55,19.0
13953_236,13953_236,2.0
13956_239,13956_239,14.0
13960_40,13960_40,59.0
13960_59,13960_59,85.0
13963_198,13963_198,40.0
13964_106,13964_106,48.0
13967_220,13967_220,6.0
13972_11,13972_11,9.0
13974_196,13974_196,30.0
13976_152,13976_152,73.0
13977_206,13977_206,70.0
13978_100,13978_100,24.0
13979_110,13979_110,49.0
13988_187,13988_187,19.0
13990_18,13990_18,38.0
13994_101,13994_101,39.0
13999_215,13999_215,57.0
14003_180,14003_180,23.0
14005_109,14005_109,63.0
14006_90,14006_90,42.0
14007_47,14007_47,28.0
14009_143,14009_143,50.0
14014_100,14014_100,39.0
14017_120,14017_120,55.0
14022_1,14022_1,63.0
14022_8,14022_8,5.0
14023_131,14023_131,67.0
14024_180,14024_180,60.0
14026_241,14026_241,6.0
14029_240,14029_240,14.0
14030_132,14030_132,29.0
14031_70,14031_70,36.0
14033_76,14033_76,42.0
14040_136,14040_136,2.0
14045_50,14045_50,83.0
14053_20,14053_20,80.0
14057_171,14057_171,61.0
14072_172,14072_172,48.0
14075_232,14075_232,58.0
14076_192,14076_192,54.0
14077_128,14077_128,16.0
14082_110,14082_110,8.0
14083_199,14083_199,45.0
14085_44,14085_44,20.0
14086_196,14086_196,71.0
14087_204,14087_204,51.0
14089_68,14089_68,46.0
14091_238,14091_238,48.0
14092_73,14092_73,20.0
14092_8,14092_8,49.0
14093_131,14093_131,12.0
14094_179,14094_179,59.0
14096_221,14096_221,5.0
14100_46,14100_46,49.0
14102_39,14102_39,12.0
14104_10,14104_10,16.0
14105_112,14105_112,27.0
14111_32,14111_32,34.0
14112_129,14112_129,80.0
14117_178,14117_178,75.0
14118_51,14118_51,80.0
14129_53,14129_53,53.0
14130_50,14130_50,11.0
14131_74,14131_74,7.0
14132_36,14132_36,15.0
14133_17,14133_17,47.0
14134_130,14134_130,36.0
14134_134,14134_134,79.0
14140_99,14140_99,10.0
14142_45,14142_45,58.0
14148_46,14148_46,49.0
14149_117,14149_117,11.0
14150_45,14150_45,17.0
14152_202,14152_202,28.0
14154_89,14154_89,24.0
14155_88,14155_88,22.0
14156_232,14156_232,4.0
14157_15,14157_15,42.0
14158_19,14158_19,32.0
14160_50,14160_50,38.0
14163_38,14163_38,27.0
14164_20,14164_20,30.0
14165_201,14165_201,37.0
14170_51,14170_51,0.0
14171_6,14171_6,1.0
14172_51,14172_51,0.0
14174_65,14174_65,8.0
14176_224,14176_224,67.0
14177_2,14177_2,21.0
14178_102,14178_102,13.0
14180_39,14180_39,17.0
14181_100,14181_100,20.0
14182_28,14182_28,13.0
14183_97,14183_97,4.0
14184_244,14184_244,0.0
14185_238,14185_238,0.0
14186_166,14186_166,43.0
14186_174,14186_174,45.0
14188_97,14188_97,4.0
14190_146,14190_146,4.0
14191_41,14191_41,41.0
14192_159,14192_159,1.0
14194_241,14194_241,54.0
14196_50,14196_50,55.0
14197_95,14197_95,54.0
14201_118,14201_118,18.0
14203_99,14203_99,46.0
14206_134,14206_134,10.0
14207_180,14207_180,18.0
14209_125,14209_125,51.0
14214_97,14214_97,46.0
14215_168,14215_168,82.0
14219_37,14219_37,16.0
14223_58,14223_58,46.0
14228_141,14228_141,69.0
14231_117,14231_117,81.0
14234_38,14234_38,83.0
14235_245,14235_245,16.0
14242_50,14242_50,68.0
14243_72,14243_72,35.0
14259_185,14259_185,84.0
14261_252,14261_252,7.0
14264_60,14264_60,66.0
14265_252,14265_252,66.0
14270_53,14270_53,73.0
14271_140,14271_140,32.0
14274_5,14274_5,66.0
14276_96,14276_96,20.0
14278_251,14278_251,45.0
14280_99,14280_99,50.0
14288_207,14288_207,50.0
14299_233,14299_233,46.0
14300_24,14300_24,12.0
14301_172,14301_172,53.0
14302_10,14302_10,64.0
14305_190,14305_190,59.0
14306_46,14306_46,46.0
14307_53,14307_53,36.0
14308_197,14308_197,21.0
14309_34,14309_34,25.0
14310_249,14310_249,78.0
14313_137,14313_137,68.0
14319_134,14319_134,19.0
14321_8,14321_8,40.0
14326_30,14326_30,61.0
14329_99,14329_99,39.0
14330_255,14330_255,10.0
14330_44,14330_44,4.0
14333_21,14333_21,29.0
14342_225,14342_225,16.0
14343_181,14343_181,22.0
14344_136,14344_136,75.0
14345_102,14345_102,63.0
14346_17,14346_17,30.0
14350_218,14350_218,54.0
14353_156,14353_156,76.0
14366_199,14366_199,25.0
14368_115,14368_115,23.0
14369_107,14369_107,67.0
14369_222,14369_222,42.0
14371_202,14371_202,17.0
14375_160,14375_160,57.0
14376_75,14376_75,71.0
14377_31,14377_31,71.0
14378_39,14378_39,77.0
14379_144,14379_144,2.0
14379_157,14379_157,18.0
14379_160,14379_160,10.0
14380_223,14380_223,21.0
14384_19,14384_19,63.0
14385_1,14385_1,7.0
14386_200,14386_200,6.0
14387_72,14387_72,76.0
14389_132,14389_132,80.0
14391_31,14391_31,16.0
14393_221,14393_221,22.0
14394_58,14394_58,40.0
14397_183,14397_183,47.0
14398_221,14398_221,73.0
14401_2,14401_2,7.0
14403_134,14403_134,15.0
14404_144,14404_144,22.0
14405_2,14405_2,8.0
14406_60,14406_60,26.0
14407_47,14407_47,44.0
14408_60,14408_60,60.0
14411_9,14411_9,59.0
14412_8,14412_8,60.0
14415_173,14415_173,65.0
14417_67,14417_67,70.0
14418_4,14418_4,54.0
14419_240,14419_240,51.0
14421_36,14421_36,64.0
14422_36,14422_36,64.0
14423_143,14423_143,68.0
14427_177,14427_177,61.0
14428_10,14428_10,31.0
14429_174,14429_174,61.0
14433_47,14433_47,45.0
14434_151,14434_151,5.0
14436_163,14436_163,75.0
14440_240,14440_240,11.0
14444_119,14444_119,2.0
14452_238,14452_238,46.0
14453_76,14453_76,31.0
14454_110,14454_110,78.0
14455_127,14455_127,16.0
14458_250,14458_250,79.0
14461_162,14461_162,43.0
14462_35,14462_35,54.0
14464_99,14464_99,62.0
14465_225,14465_225,27.0
14466_47,14466_47,24.0
14467_208,14467_208,16.0
14468_222,14468_222,30.0
14470_146,14470_146,49.0
14471_105,14471_105,50.0
14472_78,14472_78,65.0
14473_49,14473_49,64.0
14474_51,14474_51,75.0
14475_21,14475_21,82.0
14482_122,14482_122,42.0
14483_229,14483_229,8.0
14483_234,14483_234,10.0
14483_235,14483_235,6.0
14483_243,14483_243,3.0
14486_126,14486_126,44.0
14490_244,14490_244,79.0
14491_90,14491_90,17.0
14493_127,14493_127,5.0
14494_70,14494_70,3.0
14498_249,14498_249,79.0
14499_165,14499_165,81.0
14501_250,14501_250,41.0
14502_13,14502_13,72.0
14503_15,14503_15,46.0
14504_207,14504_207,64.0
14505_149,14505_149,59.0
14506_61,14506_61,64.0
14509_102,14509_102,20.0
14511_99,14511_99,7.0
14513_1,14513_1,10.0
14517_184,14517_184,9.0
14520_171,14520_171,8.0
14525_191,14525_191,26.0
14528_137,14528_137,37.0
14530_37,14530_37,44.0
14531_191,14531_191,73.0
14534_246,14534_246,68.0
14537_242,14537_242,6.0
14539_165,14539_165,45.0
14544_87,14544_87,46.0
14545_38,14545_38,81.0
14548_208,14548_208,55.0
14549_116,14549_116,14.0
14552_171,14552_171,82.0
14553_140,14553_140,51.0
14554_123,14554_123,52.0
14555_160,14555_160,78.0
14557_166,14557_166,54.0
14558_12,14558_12,20.0
14560_93,14560_93,10.0
14562_143,14562_143,62.0
14563_80,14563_80,5.0
14564_166,14564_166,34.0
14565_172,14565_172,23.0
14567_151,14567_151,57.0
14571_77,14571_77,18.0
14574_40,14574_40,7.0
14575_146,14575_146,8.0
14582_235,14582_235,15.0
14586_142,14586_142,10.0
14587_35,14587_35,80.0
14591_245,14591_245,22.0
14593_123,14593_123,41.0
14594_192,14594_192,14.0
14595_214,14595_214,61.0
14596_207,14596_207,27.0
14597_7,14597_7,33.0
14601_185,14601_185,63.0
14603_154,14603_154,53.0
14604_213,14604_213,63.0
14605_180,14605_180,74.0
14608_21,14608_21,62.0
14611_27,14611_27,52.0
14612_94,14612_94,8.0
14616_34,14616_34,32.0
14617_52,14617_52,36.0
14619_220,14619_220,32.0
14620_188,14620_188,9.0
14624_142,14624_142,81.0
192.168.100.0,192.168.100.0,85.0
192.168.100.1,192.168.100.1,0.0
192.168.100.20,192.168.100.20,1.0
192.168.200.1,192.168.200.1,2.0
192.168.200.2,192.168.200.2,85.0
192.168.210.0,192.168.210.0,63.0
192.168.210.45,192.168.210.45,3.0
192.168.210.46,192.168.210.46,11.0
192.168.210.47,192.168.210.47,2.0
192.168.210.48,192.168.210.48,3.0
192.168.210.49,192.168.210.49,0.0
192.168.210.50,192.168.210.50,14.0
192.168.210.52,192.168.210.52,1.0
192.168.210.53,192.168.210.53,6.0
192.168.210.54,192.168.210.54,0.0
192.168.210.55,192.168.210.55,1.0
192.168.210.56,192.168.210.56,0.0
192.168.210.57,192.168.210.57,2.0
192.168.220.42,192.168.220.42,2.0
192.168.220.43,192.168.220.43,4.0
192.168.220.44,192.168.220.44,15.0
192.168.220.45,192.168.220.45,3.0
192.168.220.46,192.168.220.46,1.0
192.168.220.47,192.168.220.47,0.0
192.168.220.48,192.168.220.48,0.0
192.168.220.49,192.168.220.49,3.0
192.168.220.50,192.168.220.50,2.0
192.168.220.51,192.168.220.51,0.0
255.255.255.255,255.255.255.255,25.0
